	genitiv_konstruktion	kontext	ID	epoche	Metapher	Metonymie	Name	quelle	w1	w2	1_abs	w1_aro	w1_img	w1_val	w2_abs	w2_aro	w2_img	w2_val	abs_diff	aro_diff	img_diff	val_diff	Titel	supersenser_0	supersenser_1	supersenser_2	supersenser_3	supersenser_4	supersenser_5	supersenser_6	supersenser_7	supersenser_8	supersenser_9
0	Fleisch der Wangen	"###Wie das lusterschlaffte

Schneebleiche >>>Fleisch der Wangen<<< unter Lidern,
Die###"	l0030361.txt	Moderne	0	0	HTML/l0030361.html	fotis1	Fleisch	Wangen	6.303665143243616	4.478890400564283	6.841772122512733	5.003732370887139	7.3562811569911055	4.181630346766357	7.07671659199861	6.804701573763982	-1.052616013747489	0.2972600537979257	-0.23494446948587824	-1.8009692028768427		-2.514252185821533	-12.145188331604006	-8.973527908325195	7.416857242584228	0.3506894111633301	-11.87397575378418	3.419136047363281	-4.0782504081726065	-22.746967315673828	8.532095909118652
1	Frucht des Leibes	"###
Daß ich die neugeborne >>>Frucht des Leibes<<< 
Vor ihren Mutteraugen könnt###"	l0030050.txt	Moderne	1	0	HTML/l0030050.html	fotis1	Frucht	Leibes	6.222542999880445	3.0851214528231115	6.734237344734081	7.278333250305217	3.4290077506092405	5.201738500412229	4.5001148990388735	4.582438727859001	2.793535249271205	-2.1166170475891177	2.234122445695208	2.695894522446216		26.21793365478516	-9.986473083496094	10.18754768371582	-12.229372024536133	-41.51081085205078	1.9420490264892576	6.090210437774657	-2.8714325428009038	2.3293888568878174	-9.207690238952637
2	Reife meiner Tage	"###.
Bis sich der >>>Reife meiner Tage<<< 
Die Königin der Nacht###"	l00100029.txt	Moderne	1	0	HTML/l00100029.html	fotis1	Reife	Tage	4.122228530445767	6.399905615273997	5.190590580475866	6.163601689354187	3.757951781465773	3.862398038387795	4.571565996402371	6.114734098814048	0.3642767489799947	2.5375075768862034	0.6190245840734949	0.04886759054013989		5.686140537261963	-8.855419158935547	-8.220589637756348	-11.83681583404541	-2.270242691040039	19.70720672607422	9.112321853637695	1.45067036151886	5.980332374572754	-11.330265045166016
3	Lied des Lebens	"###Schwachen weinen.
Das >>>Lied des Lebens<<< könnt ich schlafend raunen,###"	l00140202.txt	Moderne	1	0	HTML/l00140202.html	fotis1	Lied	Lebens	4.211482649386956	4.457945318968017	5.219867466795985	6.861013859018862	3.435271874569213	5.900483069916811	4.9576476597304575	6.295712438714893	0.7762107748177431	-1.4425377509487949	0.2622198070655273	0.5653014203039711		13.282964706420898	12.31672477722168	-7.126610279083253	-6.675047874450684	-8.53990364074707	-11.869918823242188	-6.871635437011719	-4.1898484230041495	2.3378477096557617	-9.92612075805664
4	Geräusche der windbewegten Zweige	"###Käfer,
die hundert >>>Geräusche der windbewegten Zweige<<< ,
blitzende Strahlen
###"	l0040564.txt	Moderne	0	0	HTML/l0040564.html	fotis1	Geräusche	Zweige	4.682873598801413	5.316449668208602	4.960931658035451	3.947445322669872	7.278847453117279	1.2807835104893	7.031891740139673	6.207033473697572	-2.595973854315867	4.035666157719302	-2.0709600821042216	-2.2595881510277023		-9.746941566467283	-2.0559678077697754	-17.057746887207028	-4.067308425903319	14.129314422607422	2.678410530090332	-21.11505126953125	-8.533296585083008	10.787986755371094	14.628738403320312
5	Steig der Wand	"###schritten
sie den schmalen >>>Steig der Wand<<< ,
während ich mit###"	l0040489.txt	Moderne	0	0	HTML/l0040489.html	fotis1	Steig	Wand	5.224388376875493	4.66551902091287	6.03060117992227	4.967187407896034	7.144315349507611	2.9529979720599604	6.692824393882287	5.195590055993926	-1.9199269726321184	1.71252104885291	-0.6622232139600159	-0.2284026480978927		3.2769575119018555	-9.337059020996094	-13.839097023010256	0.32808876037597656	1.0824737548828125	-5.402603626251222	11.528590202331545	-0.8608293533325195	-5.27159309387207	16.240772247314453
6	Fluch der Erde	"###und Reue!
Der >>>Fluch der Erde<<< ist es: sie vergißt###"	l0040487.txt	Moderne	1	0	HTML/l0040487.html	fotis1	Fluch	Erde	3.5734664029226195	6.954364768720479	5.005526036002538	3.1588502442685917	5.434402261441059	4.20436731220394	6.02848865480091	6.08287299103277	-1.86093585851844	2.74999745651654	-1.0229626187983705	-2.924022746764179		18.434162139892575	5.260008335113525	-1.8123025894165041	-7.660727500915527	20.252437591552734	-5.916282176971436	-1.1965192556381226	2.8891501426696777	11.10361385345459	-4.114485740661621
7	Lust des Dämmerns	"###schönen Zeit...
Die >>>Lust des Dämmerns<<< und des Augenschließens,
###"	l0040387.txt	Moderne	0	0	HTML/l0040387.html	fotis1	Lust	Dämmerns	2.1530388702034715	7.013034372734145	4.40575711232716	5.6456745167647275	3.369195069975304	5.308176009062742	3.608926244983808	3.3765762162946182	-1.2161561997718322	1.704858363671403	0.7968308673433526	2.2690983004701097		21.45076560974121	-15.948927879333494	-16.117752075195312	12.376020431518555	10.556861877441406	-4.875432968139648	5.95128345489502	-5.466475963592528	10.06882095336914	-15.700966835021973
8	Haus der Stadt	"###' wir noch das >>>erste Haus der Stadt<<< erreicht,
Stahl ich###"	l0030156.txt	Moderne	0	0	HTML/l0030156.html	fotis1	Haus	Stadt	7.655979878217338	3.0188937941723597	7.908270995859906	6.379553572720767	5.720542714885013	3.301163220087928	5.902000736622857	4.855576648646187	1.9354371633323275	-0.28226942591556803	2.0062702592370503	1.5239769240745815		11.530348777770994	-4.1817893981933585	2.281909942626953	-14.903732299804688	2.074370861053467	6.230212211608888	13.471565246582033	5.024169921875	-8.379034042358397	-6.1661224365234375
9	Violett der mystischen Rose	"###im emporgerißnen Dom

brünstiges >>>Violett der mystischen Rose<<< 
und blühen Fenster dir###"	l0040643.txt	Moderne	0	0	HTML/l0040643.html	fotis1	Violett	Rose	4.997098653328204	3.6100901849847946	5.593718321071405	5.9186086764902095	7.546166130762421	3.7464267880762407	7.284075145161916	7.349778787641529	-2.5490674774342166	-0.13633660309144613	-1.690356824090511	-1.43117011115132		-14.425253868103027	-3.019372940063477	-14.781332969665527	12.071413040161133	-13.003206253051758	22.897157669067386	-17.567462921142578	-0.34454822540283203	1.703740477561951	2.885545253753662
